trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-167.11013795590216,"{0: 11, 1: 2, 2: 7, 3: 5, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-76.96931658558606,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-209.7465680093589,"{0: 10, 1: 4, 2: 6, 3: 3, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-99.46570123702958,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",35,0,-133.46847726133035,"{0: 28, 1: 1, 2: 2, 3: 1, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-197.40125304965167,"{0: 20, 1: 2, 2: 3, 3: 1, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-138.4690539277379,"{0: 14, 1: 2, 2: 5, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-201.19814127310096,"{0: 17, 1: 0, 2: 2, 3: 2, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-18.109050677030254,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,3,-107.98227742408815,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-76.82793389477325,"{0: 16, 1: 0, 2: 8, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",35,7,-63.83002559217014,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-42.88642743400737,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-130.96705471023355,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,11,1.2545190115460223,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-34.53146149870278,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-128.21453001962163,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-99.44709436115707,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,13,27.284635532498708,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-110.4736593433935,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",20,10,-5.341626186785157,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",30,9,-58.393359503411475,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,0,8.34313628878294,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,-77.08472358064617,"{0: 16, 1: 0, 2: 0, 3: 3, 4: 1}",0
5,True,"{'a': 0, 'e': 0}",25,0,-71.0622288701301,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-171.35312498593115,"{0: 18, 1: 0, 2: 1, 3: 3, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,16.64593564755481,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,0,-96.54125936714769,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",30,9,-112.82732982541566,"{0: 16, 1: 0, 2: 0, 3: 3, 4: 2}",1
10,True,"{'a': 0, 'e': 0}",25,19,-11.19307640764479,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
