trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9999999239500009}",20,16,7.529325652397291,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.9999996958000155}",25,0,-132.33166453520096,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.999999315550078}",30,0,-156.73475148070202,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9999987832002468}",20,8,-15.456391299791376,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.9999980987506024}",30,0,-126.11176656876961,"{0: 19, 1: 1, 2: 8, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9999972622012493}",20,0,-194.38614880045995,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.9999962735523144}",25,0,-157.79144257157915,"{0: 14, 1: 0, 2: 9, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.9999951328039483}",30,0,-129.8015362508832,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9999938399563244}",30,0,-84.33288727854779,"{0: 22, 1: 4, 2: 1, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.9999923950096393}",25,0,-152.33817445298385,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.9999907979641129}",25,0,-245.23482793432453,"{0: 11, 1: 4, 2: 4, 3: 2, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.9999890488199881}",20,0,-115.78546793307787,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.9999871475775309}",20,0,-34.914584912588666,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.9999850942370304}",20,0,-120.36075878923955,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.999982888798799}",20,7,-134.66068830586917,"{0: 5, 1: 0, 2: 4, 3: 3, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.9999805312631723}",20,0,-105.70050195657791,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9999780216305086}",25,0,-186.3132360540584,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.9999753599011898}",25,0,-152.0680626835294,"{0: 11, 1: 3, 2: 9, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9999725460756206}",25,0,-149.30061610622974,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9999695801542291}",25,0,-120.16238653704185,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9999664621374664}",20,12,-3.535638771156954,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.5, 'e': 0.9999631920258067}",20,12,-5.258189673382273,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
